Date,Holiday
01/01/2013,New Year's Day
29/03/2013,Good Friday
01/04/2013,Easter Monday
06/05/2013,May Day (Early May Bank Holiday)
27/05/2013,Spring Bank Holiday
26/08/2013,Summer Bank Holiday
25/12/2013,Christmas
26/12/2013,Boxing Day
01/01/2014,New Year's Day
18/04/2014,Good Friday
21/04/2014,Easter Monday
05/05/2014,May Day (Early May Bank Holiday)
26/05/2014,Spring Bank Holiday
25/08/2014,Summer Bank Holiday
25/12/2014,Christmas
26/12/2014,Boxing Day
01/01/2015,New Year's Day
03/04/2015,Good Friday
06/04/2015,Easter Monday
04/05/2015,May Day (Early May Bank Holiday)
25/05/2015,Spring Bank Holiday
31/08/2015,Summer Bank Holiday
25/12/2015,Christmas
28/12/2015,Boxing Day
01/01/2016,New Year's Day
25/03/2016,Good Friday
28/03/2016,Easter Monday
02/05/2016,May Day (Early May Bank Holiday)
30/05/2016,Spring Bank Holiday
29/08/2016,Summer Bank Holiday
26/12/2016,Boxing Day
27/12/2016,Christmas
02/01/2017,New Year's Day
14/04/2017,Good Friday
17/04/2017,Easter Monday
01/05/2017,May Day (Early May Bank Holiday)
29/05/2017,Spring Bank Holiday
28/08/2017,Summer Bank Holiday
25/12/2017,Christmas
26/12/2017,Boxing Day
01/01/2018,New Year's Day
30/03/2018,Good Friday
02/04/2018,Easter Monday
07/05/2018,May Day (Early May Bank Holiday)
28/05/2018,Spring Bank Holiday
27/08/2018,Summer Bank Holiday
25/12/2018,Christmas
26/12/2018,Boxing Day
01/01/2019,New Year's Day
19/04/2019,Good Friday
22/04/2019,Easter Monday
06/05/2019,May Day (Early May Bank Holiday)
27/05/2019,Spring Bank Holiday
26/08/2019,Summer Bank Holiday
25/12/2019,Christmas
26/12/2019,Boxing Day
01/01/2020,New Year's Day
10/04/2020,Good Friday
13/04/2020,Easter Monday
04/05/2020,May Day (Early May Bank Holiday)
25/05/2020,Spring Bank Holiday
31/08/2020,Summer Bank Holiday
25/12/2020,Christmas
28/12/2020,Boxing Day